Course code,Course title
EARTH437 , Rock Mechanics 
EARTH438 , Engineering Geology 
EARTH439 , Flow and Transport Through Fractured Rocks 
EARTH440 , Quaternary Geology 
EARTH444 , Ap plied Wetland Science 
EARTH456 , Numerical Methods in Hy drogeology 
EARTH458 , Physical Hy drogeology 
EARTH458L , Field Methods in Hy drogeology 
EARTH459 , Chemical Hy drogeology 
EARTH460 , Geophysical Data Analysis 
EARTH461 , Near Surface Geophysics
EARTH471 , Mineral Deposits 
EARTH490 , Field Course 
EARTH491 , Special Topics in Earth and Environmental Sciences 
EASIA100R , Introduction to East Asia 
EASIA101R , Learning  East Asian Languages 
EASIA110R , Introduction to Modern China 
EASIA120R , Monsters and Magic in Japanese Popular Culture 
EASIA202R , Chinese Culture and Society 
EASIA203R , Japanese Culture and Society 
EASIA204R , Korean Culture and Society 
EASIA205R , Religions of East Asia 
EASIA206R , Japanese Religion and Spirituality 
EASIA207R , Buddhism 
EASIA220R , The History of East Asian Communities in Canada 
EASIA231R , Calligraphy to Conceptual Art: Text as an Image in Islamic and East Asian Visual Arts 
EASIA232R , Decorative Arts in Islamic and East Asian Visual Cultures 
EASIA233R , Contemporary Muslim and East Asian Visual Arts in Diaspora 
EASIA250R , Study Abroad in East Asia 
EASIA262R , Manga 
EASIA275R , Religion and Japanese Film 
EASIA276R , Chinese Film and Pop Culture 
EASIA277R , International Relations of East Asia 
EASIA291R , Special Topics in East Asian Studies 
EASIA300R , Politics and Diplomacy of Contemporary Japan 
EASIA301R , The Political Economy of East Asia 
EASIA302R , Chinese Foreign Policy Since 1949 
EASIA303R , Business Environment in East Asia 
EASIA304R , Korean Law and Society 
EASIA336R , Korean Pop Culture 
EASIA337R , Japanese Popular Culture 
EASIA346R , Global Asian Diasporas 
EASIA360R , Pre Modern Chinese Literature
EASIA361R , Modern Chinese Literature (1917   Present Day)
EASIA362R , Introduction to Pre Modern Japanese Literature
EASIA363R , Introduction to Early Modern Japanese Literature 
EASIA377R , Cold War in East Asia 
EASIA382R , Anthropology of East Asia 
EASIA391R , Special Topics 
EASIA491R , Special Topics 
ECON100 , Principles of Economics 
ECON101 , Introduction to Microeconomics 
ECON102 , Introduction to Macroeconomics 
ECON120W , Introduction to Microeconomics (WLU) 
ECON140W , Introduction to Macroeconomics (WLU) 
ECON201 , Microeconomic Theory for Business and Policy 
ECON206 , Money and Banking 1 
ECON207 , Economic Growth and Development 1 
ECON211 , Introduction to Mathematical Economics 
ECON212 , Introduction to Game Theory 
ECON221 , Statistics for Economists 
ECON231 , Introduction to International Economics 
ECON241 , Introduction to Public Economics 
ECON254 , Economics of Sport 
ECON255 , Introduction to Environmental and Natural Resource Economics 
ECON256 , Introduction to Health Economics 
ECON261 , Philosophy of Economics 
ECON262 , History of Economic Thought 
ECON290 , Models of Choice in Competitive Markets 
ECON306 , Macroeconomics 
ECON311 , Mathematical Economics 
ECON322 , Econometric Analysis 1 
ECON323 , Econometric Analysis 2 
ECON332 , International Finance 
ECON351 , Labour Economics 
ECON361 , Cost Benefit Analysis and Project Evaluation
ECON363 , The Economics of Social Problems 
ECON366 , Gender and Economics 
ECON371 , Business Finance 1 
ECON372 , Business Finance 2 
ECON381 , Special Topics 
ECON382 , Special Topics 
ECON391 , Equilibrium in Market Economies 
ECON392 , Strategic Situations and Welfare Economics 
ECON393 , Market Failures 
ECON406 , Money and Banking  2 
ECON407 , Economic Growth and Development 2 
ECON408 , Business Cy cles 
ECON409 ," Workers, Jobs, and Wages "
ECON412 , Topics in Game Theory 
ECON421 , Econometric Theory 
ECON422 , Microeconometric Analysis 
ECON423 , Time Series Econometrics 
ECON424 , Machine Learning in Economics 
ECON425 , Topics in Econometrics 
ECON436 , International Trade 
ECON437 , Urban Economics 
ECON441 , Public Economics 
ECON443 , Political Economy 
ECON445 , Industrial Organization and Public Policy 
ECON451 , Law and Economics 
ECON452 , Topics in Labour Economics 
ECON456 , Topics in Health Economics 
ECON457 , Environmental Economics 
ECON458 , Water Resource Economics 
ECON467 , Canadian Economic History 
ECON472 , Senior Honours Essay 
ECON474 , Numerical Methods for Economists 
ECON483 , Special Topics 
ECON484 , Special Topics 
ECON487 , Special Studies 
ECON488 , Special Studies 
ECON489 , Special Studies 
ECON491 , Advanced Microeconomics 
ECON496 , Advanced Macroeconomics 
ECE101A , Work Term Reflections
ECE101B , Work Term Reflections
ECE101C , Work Term Reflections
ECE101D , Work Term Reflections
ECE101E , Work Term Reflections
ECE102 , Information Session 
ECE105 , Classical Mechanics 
ECE106 , Electricity and Magnetism 
ECE108 , Discrete Mathematics and Logic 1 
ECE109 , Materials Chemistry for Engineers 
ECE124 , Digital Circuits and Systems 
ECE140 , Linear Circuits 
ECE150 , Fundamentals of Programming 
ECE190 , Engineering  Profession and Practice 
ECE192 , Engineering  Economics and Impact on Society 
ECE198 , Project Studio 
ECE201 , Information Session 
ECE202 , Information Session 
ECE203 , Probability Theory and Statistics 1 
ECE204 , Numerical Methods 
ECE205 , Advanced Calculus 1 for Electrical and Computer Engineers 
ECE206 , Adv Calculus 2 for Electrical Engineers 
ECE207 , Signals and Systems 
ECE208 , Discrete Mathematics and Logic 2 
ECE222 , Digital Computers 
ECE224 , Embedded Microprocessor Systems 
ECE231 , Semiconductor Physics and Devices 
ECE240 , Electronic Circuits 1 
ECE250 , Algorithms and Data Structures 
ECE252 , Systems Programming and Concurrency 
ECE260 , Electromechanical Energy Conversion 
ECE298 , Instrumentation and Prototy p ing  Laboratory 
ECE301 , Information Session 
ECE302 , Information Session 
ECE305 , Introduction to Quantum Mechanics 
ECE307 , Probability Theory and Statistics 2 
ECE313 , Digital Signal Processing 
ECE318 , Communication Systems 
ECE320 , Computer Architecture 
ECE327 , Digital Hardware Systems 
ECE331 , Electronic Devices 
ECE340 , Electronic Circuits 2 
ECE350 , Real Time Operating Systems
ECE351 , Compilers 
ECE356 , Database Systems 
ECE358 , Computer Networks 
ECE360 , Power Systems and Smart Grids 
ECE373 , Radio Frequency and Microwave Circuits 
ECE375 , Electromagnetic Fields and Waves 
ECE380 , Analog  Control Systems 
ECE401 , Information Session 
ECE402 , Information Session 
ECE403 , Thermal Physics 
ECE404 , Geometrical and Physical Optics 
ECE405A , Quantum Information Processing  Devices 
ECE405B , Fundamentals of Experimental Quantum Information 
ECE405C , Programming  of Quantum Computing  Algorithms 
ECE405D , Superconducting  Quantum Circuits 
ECE406 , Algorithm Design and Analysis 
ECE409 , Cry p tography and System Security 
ECE414 , Wireless Communications 
ECE416 , Advanced Topics in Networking 
ECE417 , Image Processing 
ECE423 , Embedded Computer Systems 
ECE432 , Radio Frequency Integrated Devices and Circuits 
ECE433 , Fabrication Technologies for Micro and Nano Devices 
ECE444 , Integrated Analog  Electronics 
ECE445 , Integrated Digital Electronics 
ECE451 , Software Requirements Specification and Analysis 
ECE452 , Software Design and Architectures 
ECE453 ," Software Testing, Quality Assurance, and Maintenance "
ECE454 , Distributed Computing 
ECE455 , Embedded Software 
ECE457A , Co operative and Adaptive Algorithms
ECE457B , Fundamentals of Computational Intelligence 
ECE457C , Reinforcement Learning 
ECE458 , Computer Security 
ECE459 , Programming for Performance 
ECE462 , Electrical Distribution Systems 
ECE463 , Design and Ap plications of Power Electronic Converters 
ECE464 , High Voltage Engineering  and Power System Protection 
ECE467 ," Power Systems Analysis, Operations, and Markets "
ECE474 , Radio and Wireless Systems 
ECE475 , Radio Wave Systems
ECE477 , Photonic Devices and Systems 
ECE481 , Digital Control Systems 
ECE484 , Digital Control Ap plications 
ECE486 , Robot Dynamics and Control 
ECE488 , Multivariable Control Systems 
ECE493 , Special Topics in Electrical and Computer Engineering 
ECE495 , Autonomous Vehicles 
ECE498A , Engineering  Design Project 
ECE498B , Engineering  Design Project 
ECE499 , Engineering  Project 
ENGL100A , Fiction 
ENGL100B , Poetry 
ENGL100C , Drama 
ENGL101A , Introduction to Literary Studies 
ENGL101B , Introduction to Rhetorical Studies 
ENGL101C , Introduction to Literature and Rhetoric 
ENGL103 , Combating  Racisms 
ENGL104 , Rhetoric in Popular Culture 
ENGL107 , Writing  With Your own English(es) 
ENGL108A , The Superhero 
ENGL108B , Global English Literatures 
ENGL108D , Digital Lives 
ENGL108E , Gender and Representation 
ENGL108F , The Rebel 
ENGL108G , Horror 
ENGL108P , Popular Potter 
ENGL108T , Tolkien: From Book to Film 
ENGL108X , Literature and Medicine 
ENGL109 , Introduction to Academic Writing 
ENGL119 , Communications in Mathematics and Computer Science 
ENGL129R , Written Academic English 
ENGL132R , Introduction to Modern Arab and Muslim Drama 
ENGL140R , The Use of English 
ENGL190 , Shakespeare 
ENGL191 ," Communication in the Engineering Profession (AE, CIVE, ENVE, GEOE) "
ENGL192 ," Communication in the Engineering Profession (COMPE, ELE, MGTE) "
ENGL193 , Communication in the Sciences 
ENGL200A , English Literatures 1 
ENGL200B , English Literatures 2 
ENGL200C , English Literatures 3 
ENGL201 , The Short Story 
ENGL202A , The Bible and Literature 1 
ENGL202B , The Bible and Literature 2 
ENGL203 , Designing  Digital Media 
ENGL204 , Designing  Digital Video 
ENGL205R , The Canadian Short Story 
ENGL206 , Writing  Lives 
ENGL208A , Forms of Fantasy 
ENGL208B , Science Fiction 
ENGL208C , Studies in Children's Literature 
ENGL208E , Women's Writing 
ENGL208G , Gothic Monsters 
ENGL208K , Detective Fiction 
ENGL208L , Race and the Literary Tradition 
ENGL208M , Travel Literature 
ENGL208N , Sex in Literature 
ENGL209 , Advanced Academic Writing 
ENGL210C , Genres of Creative Writing 
ENGL210E , Genres of Technical Communication 
ENGL210F , Genres of Business Communication 
ENGL210G , Genres of Fundraising  Communication 
ENGL210H , Arts Writing 
ENGL210I , Legal Writing 
ENGL210J , Technical Editing 
ENGL211 ," First Nations, Metis, and Inuit Literatures "
ENGL213 , Literature and the Law 
ENGL217 , Canadian Children's Literature 
ENGL221 , Monstrous Hunger 
ENGL222 ," Health, Illness, and Narrative "
ENGL225 , Introduction to Anti Racist Communication
ENGL230 , The Pleasure of Poetry 
ENGL232 , Graphic Narrative 
ENGL233 , Sexual Health and Well Being  in Comics
ENGL234 , Young  Adult Literature 
ENGL240R ," Migration, Diaspora, and Exile in Muslim Narratives "
ENGL241R , Sacred Spaces and Human Geographies in Muslim Literary Expressions 
ENGL242 ," Literature, Rhetoric, and the Visual Arts "
ENGL243 ," Literature, Rhetoric, and Music "
ENGL247 , American Literature and Popular Culture 
ENGL248 , Literature for an Ailing  Planet 
ENGL251 , Literary Theory and Criticism 
ENGL262 , Manga 
ENGL275 , Fiction and Film 
ENGL280 , Literatures of Migration 
ENGL290 , Global Shakespeare 
ENGL291 , Global Literatures 
ENGL292 , Rhetorical Theory and Criticism 
ENGL293 , Introduction to Digital Media Studies 
ENGL294 , Introduction to Critical Game Studies 
ENGL295 , Social Media 
ENGL303 , Special Topics in Digital Design 
ENGL304 , Designing  Digital Sound 
ENGL305A , Old English Language and Literature 
ENGL305B , The Age of Beowulf 
ENGL306A , Introduction to Linguistics 
ENGL306B , How English Grammar Works 
ENGL306D , The History of the English Language 
ENGL306F , Introduction to Semiotics 
ENGL306G , Critical Discourse Analysis 
ENGL307 , Linguistic Imperialism and Resistance 
ENGL308 , Race and Resistance 
ENGL309A ," Rhetoric, Classical to Enlightenment "
ENGL309C , Contemporary Rhetoric 
ENGL309E , Speech Writing 
ENGL309G , The Discourse of Dissent 
ENGL310A , Middle English Literature 
ENGL310B , Chaucer 
ENGL313 , Early Canadian Literatures 
ENGL315 , Modern Canadian Literature 
ENGL316 , Canadian Drama 
ENGL318 , Contemporary Canadian Literature 
ENGL319 , History and Theory of Writing  and Print Media 
ENGL320 , History and Theory of Pre Internet Media
ENGL322 , Postcolonial Literature of the Americas 
ENGL324 , Modern and Contemporary American Drama 
ENGL325 , Austen 
ENGL326 ," Language, Life, and Literature in the Caribbean "
ENGL327 , Black Diasporic Lives: 1740 1900
ENGL328 , Introduction to Black Canadian Writing 
ENGL330A , Sixteenth Century Literature 1
ENGL330B , Sixteenth Century Literature 2
ENGL335 , Creative Writing 1 
ENGL336 , Creative Writing  2 
ENGL340 , Contemporary African Literature and Film 
ENGL342 , American Literature to 1860 
ENGL343 , American Literature 1860 1910
ENGL344 , Modern American Literature 
ENGL345 , American Literature in a Global Context 
ENGL346 , American Fiction 
ENGL346R , Global Asian Diasporas 
ENGL347 , American Literature Since 1945 
ENGL348 , American Poetry Since 1850 
ENGL350A , Seventeenth Century Literature 1
ENGL350B , Seventeenth Century Literature 2
ENGL361 , Early Modern Worlds on Stage 
ENGL362 , Shakespeare 1 
ENGL363 , Shakespeare 2 
ENGL364 , Shakespeare in Performance at the Stratford Festival 
ENGL365 , Selected Studies 
ENGL366 , Selected Studies 
ENGL367 , Voice and Text at the Stratford Festival 
ENGL371 , Editing  Literary Works 
ENGL372 , Women and Medicine in Literature 
ENGL373 , Writing  Anti Racism
ENGL375 , Topics in Black Language and Linguistics 
ENGL378 , Professional Communications in Statistics and Actuarial Science 
ENGL381 , Early Modern Bodies 
ENGL383 , Phonetics 
ENGL392A , Information Design 
ENGL392B , Visual Rhetoric 
ENGL403 , Digital Design Research Project 
ENGL405 , African American Rhetoric 
ENGL406 , Advanced Rhetorical Study 
ENGL407 , Language and Politics 
ENGL408A , Writing  for the Media 
ENGL408B , The Discourse of Advertising 
ENGL408C , The Rhetoric of Digital Design: Theory and Practice 
ENGL409A , Rhetoric of Argumentation 
ENGL410 , Eighteenth Century Women Writers
ENGL411 ," Eighteenth Century Literature: Sex, Satire, and Sentiment"
ENGL412 , Eighteenth Century Literature and Media
ENGL425 , Transnational Feminisms and Contemporary Narratives 
ENGL430A , Literature of the Romantic Period 1 
ENGL430B , Literature of the Romantic Period 2 
ENGL432 , Topics in Creative Writing 
ENGL451A , Literature of the Victorian Age 1 
ENGL451B , Literature of the Victorian Age 2 
ENGL460A , Early Literature of the Modernist Period in the United Kingdom and Ireland 
ENGL460B , Literature of the Modernist Period in the United Kingdom and Ireland 
ENGL460C , Literature of the Postwar Period in the United Kingdom and Ireland 
ENGL460D , Contemporary Literature of the United Kingdom and Ireland 
ENGL461 , Irish Literature 
ENGL463 , Postcolonial Literatures 
ENGL470A , Contemporary Critical Theory 
ENGL470B , History of Literary Criticism 
ENGL470C , Literary Studies in Digital Forms 
ENGL471 , Adapting Literary Works 
ENGL472 , Research Methods in Technical Communication 
ENGL481 , Topics in the History and Theory of Language 
ENGL484 , Topics in Literatures Medieval to Romantic 
ENGL485 , Topics in Literatures Romantic to Modern 
ENGL486 , Topics in Literatures Modern to Contemporary 
ENGL491 , Topics in Literature and Rhetoric 
ENGL492 , Topics in the History and Theory of Rhetoric 
ENGL493 , Topics in Professional Writing and Communication Design 
ENGL494 , Topics in Forms of Media and Critical Analysis 
ENGL495A , Supervision of Honours Essay 
ENGL495B , Supervision of Honours Essay 
EMLS101R , Oral Communications for Academic Purposes 
EMLS102R , Clear Communication in English Writing 
EMLS103R , Effective English Pronunciation 
EMLS104R , Reading and Listening for Academic Purposes 
EMLS105R , English in Employment Contexts 
EMLS110R , Communicating in Canadian Academic Contexts 
EMLS129R , Written Academic English 
ENVS105 , Environmental Sustainability and Ethics 
ENVS131 , Communications for Environmental Professions 
ENVS178 , Environmental Ap plications of Data Management and Statistics 
ENVS195 , Introduction to Environmental Studies 
ENVS200 , Field Ecology 
ENVS201 , Introduction to Canadian Environmental Law 
ENVS205 , Sustainability: The Future We Want 
ENVS210 , Future Studies 
ENVS220 , Ecological Economics 
ENVS274 , Special Topics in Environment 
ENVS278 , Ap plied Statistics for Environmental Research 
ENVS300 , Vascular Plants of Southern Ontario 
ENVS310 , Future Cities: Integrating  Future Thinking  into Urban Decisions 
ENVS374 , Special Topics in Environment 
ENVS376A , Field Studies in Environment 
ENVS376B , Field Studies in Environment 
ENVS395 , Study Abroad 
ENVS401 ," Canadian Law, Indigenous Peoples, and Natural Resource Development "
ENVS403A , Interdisciplinary Project 
ENVS403B , Interdisciplinary Project 
ENVS404 , Interdisciplinary Project 
ENVS405 , Interdisciplinary Project 
ENVS410 , Urban Futures Project 
ENVS444 , Ecosystem and Resource Management in Parks/Natural Areas 
ENVS469 ," Landscape Ecology, Restoration and Rehabilitation "
ENVS474 , Special Topics in Environment 
ENVS476A , Field Studies in Environment 
ENVS476B , Field Studies in Environment 
ENVS476C , Field Studies in Environment 
ENBUS102 , Introduction to Environment and Business 
ENBUS103 , Economics and Sustainability 1 
ENBUS104 , Economics and Sustainability 2 
ENBUS112 , Operationalizing  Sustainable Development within Business 
ENBUS202 , Environmental Management Systems 
ENBUS203 , Green Entrepreneurship 
ENBUS204 , Principles of Industrial Ecology 
ENBUS211 , Principles of Marketing  for Sustainability Professionals 
ENBUS302 , Strategies for Environment and Business 
ENBUS304 , Circular Economy 
ENBUS306 , Research Design 
ENBUS308 , Sustainability Management Standards and Auditing 
ENBUS309 , Behaviour Change and Sustainability 
ENBUS310 , Introduction to Sustainable Finance 
ENBUS314 , Sustainable Business Models 
ENBUS315 ," Fashion, Consumption, and Sustainability "
ENBUS375 , Special Topics in Environment and Business 
ENBUS402A , Environment and Business Project 
ENBUS402B , Environment and Business Project 
ENBUS403A , Sustainable Entrepreneurship Project 
ENBUS403B , Sustainable Entrepreneurship Project 
ENBUS405 , Introduction to Life Cy cle Assessment 
ENBUS406 , Industrial Ecology: Sustainable Materials 
ENBUS407 , Corporate Sustainability Accounting and Reporting 
ENBUS408 , Policy Instruments for Sustainability 
ENBUS409A , Environment and Business Project 
ENBUS409B , Environment and Business Project 
ENBUS410 , Engaging Stakeholders 
ENBUS411 , Corporate Social Responsibility in Practice 
ENBUS475 , Special Topics in Environment and Business 
ERS101 ," Ap proaches: Environment, Resources and Sustainability "
ERS102 , At Home in the Universe 
ERS200 , Indigenous Sustainability Entrepreneurship 
ERS201 ," Environmental Policy, Politics and Governance "
ERS202 , Natural Resources Ecology 
ERS215 , Environmental and Sustainability Assessment 1 
ERS221 , Oceans Sustainability 
ERS222 , War and the Environment 
ERS225 , Gendering  Environmental Politics 
ERS234 , Forest Ecosystems 
ERS245 ," Interdisciplinary Perspectives on Biodiversity Conservation: Nature, People, and Policy "
ERS253 , Communities and Sustainability 
ERS265 , Water: Environmental History and Change 
ERS270 , Introduction to Sustainable Agroecosystems 
ERS275 , Special Readings/Seminar on Select Topics 
ERS283 , Ontario Natural History: Species and Patterns 
ERS288 , Literature for an Ailing  Planet 
ERS294 ," Spirituality, Religion, and Ecology "
ERS300 , Social Ecological Systems Analysis 
ERS301 ," Sustainability Thought, Practice and Prospects "
ERS302 , Research Methods and Design 
ERS310 , Peace and the Environment 
ERS315 , Environmental and Sustainability Assessment 2 
ERS316 , Urban Water and Wastewater Systems: Integrated Planning and Management 
ERS317 , Waste Management 
ERS318 , Photography for Sustainability 
ERS320 , Economics and Sustainability 
ERS321 , Coastal Social Ecological Systems
ERS328 , Environmental Politics and System Change 
ERS335 , Restoration Ecology 
ERS337 , ReWilding  and Ecological Restoration 
ERS340 , Ecosystem Assessment 
ERS341 , Professional Conservation and Restoration Practice 1 
ERS342 , Professional Conservation and Restoration Practice 2 
ERS346 , Wildlife Ecology 
ERS361 , Food Systems and Sustainability 
ERS365 , Water Governance 
ERS370 , Corporate Sustainability: Issues and Prospects 
ERS372 , First Nations and the Environment 
ERS373 ," Special Topics in Environment, Resources and Sustainability "
ERS374 ," Special Topics in Environment, Resources and Sustainability "
ERS375 , Special Readings/Seminar on Select Topics 
ERS382 , Ecological Monitoring 
ERS383 , Tropical Ecosystems 
ERS400 , Social Ecological Ap proaches to Sustainability
ERS401 , Translational Ecology 
ERS402 , Senior Honours Research Seminar 
ERS403A , Senior Honours Thesis 
ERS403B , Senior Honours Thesis 
ERS404 , Global Environmental Governance 
ERS406 , Paths to Sustainability 
ERS415 , Environmental and Sustainability Assessment 3 
ERS422 , Biosphere Reserves as Social Ecological Systems
ERS431 , Ecological Consequences of Climate Change 
ERS443 , Ecosystem Field Research 
ERS446 , Wildlife Management 
ERS454 , Parks and Protected Areas: Issues and Trends 
ERS456 , Transforming  Canadian Resource Management 
ERS460 , Sustainable Food: Regional Case Study 
ERS462 , Global Food and Agricultural Politics 
ERS473 ," Special Topics in Environment, Resources and Sustainability "
ERS474 ," Special Topics in Environment, Resources and Sustainability "
ERS475 , Special Readings/Seminar on Select Topics 
ERS484 , Soil Ecosystem Dynamics 
ENVE100 , Environmental and Geological Engineering  Concepts 
ENVE115 , Linear Algebra 
ENVE121 , Computational Methods 
ENVE123 , Electrical Circuits and Instrumentation 
ENVE153 , Earth Engineering 
ENVE175 , Introduction to Environmental Chemistry 
ENVE176 , Microbial Biology for Environmental Engineers 
ENVE200 , Sustainability Analysis and Solutions 
ENVE223 , Differential Equations and Balance Laws 
ENVE224 , Probability and Statistics 
ENVE225 , Environmental Modelling 
ENVE275 , Aquatic Chemistry 
ENVE277 , Air Quality Engineering 
ENVE279 , Energy and the Environment 
ENVE280 , Fluid Mechanics 
ENVE298 , Seminar 
ENVE299 , Seminar 
ENVE330 , Lab Analysis and Field Sampling  Techniques 
ENVE335 , Decision Making  for Environmental Engineers 
ENVE375 , Physico Chemical Processes
ENVE376 , Biological Processes 
ENVE382 , Hy drology and Open Channel Flow 
ENVE383 , Hydrologic Modelling 
ENVE391 , Law and Ethics for Environmental and Geological Engineers 
ENVE392 , Economics and Life Cycle Cost Analysis 
ENVE398 , Seminar 
ENVE399 , Seminar 
ENVE400 , Environmental Engineering Design Project 1 
ENVE401 , Environmental Engineering Design Project 2 
ENVE481 , Open Channel Hydraulics 
ENVE495 , Design Intensive Special Topics in Environmental Engineering 
ENVE497 , Special Topics in Environmental Engineering 
ENVE498 , Seminar 
ENVE499 , Seminar 
ENVE573 , Contaminant Transport 
ENVE577 , Engineering  for Solid Waste Management 
ENVE583 , Design of Urban Water Systems 
ENVE585 , Air Quality Engineering  and Impacts 
FINE100 , Studio Fundamentals 
FINE120 , Italian Cinema 
FINE130 , Introduction to Digital Imaging 
FINE150 , Ap preciation and Expression 
FINE201 , Special Topics in Studio for Non Fine Arts Majors
FINE202 , Painting 
FINE204 , Topics in Studio Practice 
FINE210 , Art: 1780 1875
FINE212 , Renaissance Art: 1300 1500
FINE213 , Art of the 16th Century in Europe 
FINE214 , Visual Culture of Medieval Europe 
FINE215 , Art of the 17th Century in Europe 
FINE217 , Art of the 18th Century in Europe 
FINE220 , Oil Painting 
FINE221 , Acrylic and Mixed Media 
FINE222 , Principles of Sculpture 
FINE223 , Methods and Materials of Sculpture 
FINE224 , Expressive Drawing 
FINE225 , Observational Drawing 
FINE226 , Experimental Drawing 
FINE227 , Photography 
FINE228 , Design and Imaging 
FINE230 , Printmaking 
FINE231 , Mixed Multiples 
FINE232 , Video and Sound 
FINE243 , Topics in Fine Arts Experiential Learning 
FINE246 , Expanded Media: Site and Intervention 
FINE247 , Expanded Media: Interaction 
FINE253 , Special Topics in Religion and Film 
FINE258 , Aspects of the Cinemas of the Americas 
FINE259 , Aspects of European Cinema 
FINE260 , Italian Cinema and the Novel 
FINE261 , Italian Innovators: Italy by Design 
FINE271 , Ceramics: Studies in Material Practice 
FINE272 , Clay Studies 
FINE291 , Italian Culture and Civilization 1 
FINE302 , Analysis and Research 
FINE304 , Topics in Studio Practice 
FINE309 , Advanced Topics in Two Dimensional Media
FINE312 , Advanced Topics in Three Dimensional Media
FINE315 , Advanced Topics in Expanded Media 
FINE327 , Open Studio 
FINE332 , History of Art Academies 
FINE343 , Topics in Fine Arts Experiential Learning 
FINE344 , Fine Arts Internship 
FINE359 , Topics in German Film 
FINE362 , German Film Classics 
FINE363 , German Filmmakers in Hollywood 
FINE364 , German and Russian Film Pioneers 
FINE368 , International Comics and Animation Film 
FINE383 , Computational Digital Art Studio 
FINE392 , Technology Art Studio 
FINE402 , Directed Study 
FINE404 , Topics in Studio Practice 
FINE407 , Honours Concept and Research 
FINE472 , Fine Arts Honours Thesis 1 
FINE473 , Fine Arts Honours Thesis 2 
FINE474 , Honours Studio Practicum 1 
FINE475 , Honours Studio Practicum 2 
FR101 , Beginner French 
FR151 , Basic French 1 
FR152 , Basic French 2 
FR192A , French Language 1: Module 1 
FR192B , French Language 1: Module 2 
FR203 , Introduction to Phonetics of French 
FR220 , French and Francophone Pop Culture 
FR250 , Intermediate Spoken French 
FR251 , French Language 2: Module 1 
FR252 , French Language 2: Module 2 
FR255 , Business French 1 
FR276 , Introduction to French Language Literatures and Cultures in Canada
FR291 , French Civilization 1 
FR292 , French Civilization 2 
FR296 , French Culture & Literature: Origins to 1715 
FR297 , French Culture & Literature: 1715 to the Present 
FR303 , Introduction to Linguistics 
FR332 , 17th Century French Literature
FR343 , 18th Century French Literature
FR351 , French Language 3 
FR353 , Introduction to Translation 
FR354 , 19th Century French Literature
FR355 , Business French 2 
FR363 , 20th Century French Literature
FR365 , French Language Theatre
FR367 , 21st Century French Literature
FR373 , Languages in Contact: The History of French English Bilingualism
FR375 , Quebec Literature 
FR399A , Independent Cultural Study 
FR400 , Translation Theory and Practice 
FR403 , Sound Structure of French 
FR410 , Medieval French Literature 
FR424 , 16th Century French Literature
FR452 , Advanced French Language 
FR471 , Francophone Literatures in Canada 
FR473 , Francophone Minorities in Canada 
FR484 , Children's Literature in French 
FR485 , Women's Writing  in French 
FR486 , Topics in French and Francophone Cultural Studies 
FR487 , African and Caribbean Literatures in French 
FR490 , Senior Tutorials 
FR491 , Senior Tutorials 
GSJ101 , Introduction to Gender and Social Justice: the Global North 
GSJ102 , Introduction to Gender and Social Justice: The Global South 
GSJ108 , Gender and Representation 
GSJ201 , Gender and Social Justice in Popular Culture 
GSJ202 , Introduction to Gender and Sexuality in Communication 
GSJ203 , The Waves of Feminist Thought 
GSJ205 ," Technology, Gender, and Social Justice "
GSJ206 , Women and the Law 
GSJ207 ," Entrepreneurship , Gender, and Social Justice "
GSJ208E , Women's Writing 
GSJ208L , Race and the Literary Tradition 
GSJ211 ," First Nations, Metis, and Inuit Literatures "
GSJ221 , Language and Society 
GSJ222 , Gender Issues 
GSJ232 , Anthropologies of the Body 
GSJ260 , Social Determinants of Health 
GSJ261 , Gender and the Great Religions 
GSJ262 , Global Queer Cinema 
GSJ271 , Special Topics in Gender and Social Justice 
GSJ301 , Socially Engaged Buddhism 
GSJ302 , Thinking  Through Gender: Feminist Perspectives 
GSJ304 , Research as Resistance 
GSJ306 , Gender and Health 
GSJ307 , Race and Resistance 
GSJ309 , The Discourse of Dissent 
GSJ315 ," Islam, Women, and the Modern World "
GSJ320 , Sex and the World Religions 
GSJ326 , Sexuality and the Law 
GSJ327 ," The Body, Dress, and Religion "
GSJ331 , Gender in War & Peace 
GSJ334 , Women and Music 
GSJ347 ," Witches, Wives, and Whores "
GSJ350 , Anthropology of Gender 
GSJ371 , Special Topics in Gender and Social Justice 
GSJ380 , Ap plied Public Health Ethics 
GSJ401 , Global Health 
GSJ402 , Studies in Feminist Philosophy/Philosophy of Sex 
GSJ410 , Eighteenth Century Women Writers
GSJ430 , Unruly Women in Early Modern Hispanic Culture 
GSJ463 , Postcolonial Literatures 
GSJ472 , Special Topics in Intersectional Feminist Theory 
GSJ473 , Special Topics in Feminist and Social Justice Praxis 
GENE101 , Strategies and Skills for Academic Success 
GENE119 , First Year Engineering  Seminar
GENE120 , First Year Engineering  Seminar
GENE123 , Electrical Circuits and Instrumentation 
GENE199 , Special Topics in First Year Engineering
GENE298 , Special Complementary Studies Topics 
GENE299 , Special Topics in Second Year Engineering
GENE310A , Topics for Technical Courses Taken on Exchange by Architecture Students 
GENE310E , Topics for Technical Courses Taken on Exchange by Engineering  Students 
GENE311A , Topics for List A Complementary Studies Courses Taken on Exchange by Engineering  Students 
GENE311B , Topics for List B Complementary Studies Courses Taken on Exchange by Engineering  Students 
